north,east
1.17,-0.64
0.99,-2.42
2.3,-2.38
2.17,-2.01
1.83,0.9
1.77,0.27
1.77,0.27
0.88,-3.22
2.32,-3.39
1.84,-2.2
3.33,-1.52
3.31,-1.53
1.96,-2.9
1.87,0.89
0.76,-3
1.29,0.5
3.11,-2.04
2.89,-2.74
3.46,-2.16
5.95,-3.17
3.02,-2.13
1.39,-0.5
5.85,-2.38
3.98,-2.67
4.83,-3.29
3.69,-2.54
1.48,0.1
4.95,-3.98
0.89,-4.3
2.81,-1.88
0.66,-2.6
0.96,-0.14
1.01,-4.25
0.5,-3.62
1.69,-0.42
0.31,-3.68
1.45,-2.66
2.18,-0.21
3.19,-2.91
2.19,-1.97
2.37,-0.19
2.14,-1.91
1.1,-1.2
1,-1.48
1.24,-0.56
1.08,-1.3
1.18,-1.54
2.39,-2.89
2.47,-2.63
3.47,-1.35
2.23,-4.27
1.69,-3.43
2.67,-3.71
2.03,-4.46
6.94,-4.51
6.32,-3.35
2.24,-4.24
1.59,-3.8
2.04,-4.4
1.69,-3.23
2.52,-3.28
1.71,-3.14
1.95,-3.48
1.71,-3.37
1.63,-3.14
1.95,-5.13
2.59,-3.77
7.08,-4.74
7.55,-2.63
5.98,-3.47
1.79,-3.72
1.65,-3.66
6.2,-2.79
1.68,-3.41
2.03,-4.56
1.64,-3.33
2.72,-3.68
6.36,-3.5
1.7,-3.44
1.7,-3.44
2.8,-4.71
1.7,-5.04
7.14,-2.13
3.03,-4.35
6.05,-3.3
1.67,-3.78
2.54,-4.05
2.11,-3.35
1.93,-5.21
2.89,-4.39
1.69,-3.34
6.61,-3.87
3.18,-4.47
2.38,-3.94
1.77,-2.94
3.82,-1.34
6.17,-4.38
1.54,-3.57
1.7,-3.72
1.82,-3.03
3.27,-3.59
2.04,-4.18
1.97,-4.06
1.99,-4.98
2.15,-3.68
1.86,-4.28
1.65,-3.6
3.22,-4.02
2.63,-3.96
1.94,-3.39
2.55,-3.77
1.53,-3.6
6,-2.86
6.68,-2.78
2.5,-4.06
2.66,-3.82
2.33,-3.96
3.09,-3.04
2.53,-3.24
2.56,-3.22
1.88,-4.42
6.32,-3.32
6.46,-3.21
3.03,-3.07
1.68,-3.39
2.13,-4.54
2.82,-4.5
1.72,-3.07
2.08,-4.67
1.46,-3.44
1.72,-3.14
1.59,-3.27
2.76,-3.43
2.62,-4.02
1.72,-3.14
1.73,-3.26
6.31,-3.66
1.88,-3.3
1.95,-3.47
2.4,-4.08
1.66,-1.29
1.19,-0.41
1.21,-0.44
2.24,-0.87
5.48,-3.69
2.07,-0.1
2.24,-0.85
0.93,-0.43
2.8,-0.93
2.15,-1.98
1.21,-1.78
1.76,-1.85
3.3,-1.71
7.07,-2.79
4.04,-2.82
3.5,-2.6
7.38,-4.41
1.64,0.1
5.95,-3.95
0.84,-1.27
1.46,-2.43
2.1,-1.06
9.13,-3.25
3.28,0.11
6.77,-5.96
3.89,-1.11
3.86,-1.13
3.74,-2.38
6.59,-6.59
7.42,-6.21
5.93,-5.55
6.44,-5.39
8.48,-3.45
8.15,-6.57
6.02,-5.58
6.03,-5.21
6.8,-5.12
6.83,-5.14
6.73,-5.81
8.45,-4.19
6.87,-3.18
6.56,-4.03
7.91,-4.07
1.68,-4.25
8.3,-4.92
8.07,-4.44
7.87,-5.57
8.49,-3.9
7.05,-6.52
8.01,-5.35
8.5,-4.23
8.54,-4.44
6.64,-5.26
8.54,-4.45
7.41,-5.43
7.38,-5.59
6.52,-6.21
6.88,-4.79
8.42,-5.01
8.16,-5.31
7.91,-5.34
7.33,-5.57
8.23,-5.34
6.93,-5
7.1,-5.98
6.5,-5.49
6.73,-6.15
7.94,-4.51
7.32,-3.71
6.32,-6.22
8.07,-4.46
7.57,-5.07
6.72,-6.18
8.57,-3.7
8.43,-5
8.03,-3.86
