north,east
51.17,-0.64
50.99,-2.42
52.3,-2.38
52.17,-2.01
51.83,0.9
51.77,0.27
51.77,0.27
50.88,-3.22
52.32,-3.39
51.84,-2.2
53.33,-1.52
53.31,-1.53
51.96,-2.9
51.87,0.89
50.76,-3
51.29,0.5
53.11,-2.04
52.89,-2.74
53.46,-2.16
55.95,-3.17
53.02,-2.13
51.39,-0.5
55.85,-2.38
53.98,-2.67
54.83,-3.29
53.69,-2.54
51.48,0.1
54.95,-3.98
50.89,-4.3
52.81,-1.88
50.66,-2.6
50.96,-0.14
51.01,-4.25
50.5,-3.62
51.69,-0.42
50.31,-3.68
51.45,-2.66
52.18,-0.21
53.19,-2.91
52.19,-1.97
52.37,-0.19
52.14,-1.91
51.1,-1.2
51,-1.48
51.24,-0.56
51.08,-1.3
51.18,-1.54
52.39,-2.89
52.47,-2.63
53.47,-1.35
52.23,-4.27
51.69,-3.43
52.67,-3.71
52.03,-4.46
56.94,-4.51
56.32,-3.35
52.24,-4.24
51.59,-3.8
52.04,-4.4
51.69,-3.23
52.52,-3.28
51.71,-3.14
51.95,-3.48
51.71,-3.37
51.63,-3.14
51.95,-5.13
52.59,-3.77
57.08,-4.74
57.55,-2.63
55.98,-3.47
51.79,-3.72
51.65,-3.66
56.2,-2.79
51.68,-3.41
52.03,-4.56
51.64,-3.33
52.72,-3.68
56.36,-3.5
51.7,-3.44
51.7,-3.44
52.8,-4.71
51.7,-5.04
57.14,-2.13
53.03,-4.35
56.05,-3.3
51.67,-3.78
52.54,-4.05
52.11,-3.35
51.93,-5.21
52.89,-4.39
51.69,-3.34
56.61,-3.87
53.18,-4.47
52.38,-3.94
51.77,-2.94
53.82,-1.34
56.17,-4.38
51.54,-3.57
51.7,-3.72
51.82,-3.03
53.27,-3.59
52.04,-4.18
51.97,-4.06
51.99,-4.98
52.15,-3.68
51.86,-4.28
51.65,-3.6
53.22,-4.02
52.63,-3.96
51.94,-3.39
52.55,-3.77
51.53,-3.6
56,-2.86
56.68,-2.78
52.5,-4.06
52.66,-3.82
52.33,-3.96
53.09,-3.04
52.53,-3.24
52.56,-3.22
51.88,-4.42
56.32,-3.32
56.46,-3.21
53.03,-3.07
51.68,-3.39
52.13,-4.54
52.82,-4.5
51.72,-3.07
52.08,-4.67
51.46,-3.44
51.72,-3.14
51.59,-3.27
52.76,-3.43
52.62,-4.02
51.72,-3.14
51.73,-3.26
56.31,-3.66
51.88,-3.3
51.95,-3.47
52.4,-4.08
51.66,-1.29
51.19,-0.41
51.21,-0.44
52.24,-0.87
55.48,-3.69
52.07,-0.1
52.24,-0.85
50.93,-0.43
52.8,-0.93
52.15,-1.98
51.21,-1.78
51.76,-1.85
53.3,-1.71
57.07,-2.79
54.04,-2.82
53.5,-2.6
57.38,-4.41
51.64,0.1
55.95,-3.95
50.84,-1.27
51.46,-2.43
52.1,-1.06
59.13,-3.25
53.28,0.11
56.77,-5.96
53.89,-1.11
53.86,-1.13
53.74,-2.38
56.59,-6.59
57.42,-6.21
55.93,-5.55
56.44,-5.39
58.48,-3.45
58.15,-6.57
56.02,-5.58
56.03,-5.21
56.8,-5.12
56.83,-5.14
56.73,-5.81
58.45,-4.19
56.87,-3.18
56.56,-4.03
57.91,-4.07
51.68,-4.25
58.3,-4.92
58.07,-4.44
57.87,-5.57
58.49,-3.9
57.05,-6.52
58.01,-5.35
58.5,-4.23
58.54,-4.44
56.64,-5.26
58.54,-4.45
57.41,-5.43
57.38,-5.59
56.52,-6.21
56.88,-4.79
58.42,-5.01
58.16,-5.31
57.91,-5.34
57.33,-5.57
58.23,-5.34
56.93,-5
57.1,-5.98
56.5,-5.49
56.73,-6.15
57.94,-4.51
57.32,-3.71
56.32,-6.22
58.07,-4.46
57.57,-5.07
56.72,-6.18
58.57,-3.7
58.43,-5
58.03,-3.86
57.43,-6.21
57.59,-4.54
58.52,-4.28
52.42,-0.5
58.48,-4.47
54.22,-2.76
58.46,-3.11
54.54,-1.25
54.03,-0.81
52.57,-2.34
55.3,-1.65
53.68,-1.38
53.63,-1.35
52.63,1.54
52.44,-1.83
51.35,1.3
54.98,-2.11
53.94,-1.13
53.55,-2.1
52.97,-3.08
53.07,-2.24
50.6,-2.02
52.44,-3.01
52.3,-2.23
52.06,0.75
51.5,-0.27
53.05,-2.98
52.96,-2.26
53.07,-2.55
52.14,-2.48
53.27,-2.61
52.6,-2.69
52.14,-2.45
51.49,-0.27
52.61,-2.68
52.07,0.74
52.8,-2.69
52.55,-2.54
52.49,-2.81
52.75,-2.1
51.51,-2.28
58.48,-6.24
55.86,-3.53
50.86,-2.65
52.84,-2.35
50.97,-2.58
52.93,-1.1
52.01,-1.31
52.94,-2.5
52.99,-2.13
55.84,-3.61
53.93,-1.89
53.91,-1.89
50.45,-4.46
51.94,-0.92
51.35,-0.03
51.3,0.36
55.76,-2.76
51.37,-0.07
51.36,-0.5
51.37,-0.5
53.18,0.3
53.84,-1.59
52.75,-2.44
51.75,-0.45
52.59,-3.4
52.33,-2.88
50.66,-1.16
51.23,1.17
51.94,-1.65
53.67,-0.72
53.31,-2.13
53.61,-2.6
53.59,-2.63
52.7,-2.54
52.8,-1.92
52.11,-1.7
52.04,-4.48
51.05,-3.04
51.12,-3.17
51.96,-0.93
52.15,-1.13
53.38,-2.18
50.99,-0.47
57.38,-3.46
53.74,-1.65
51.68,-1
53.55,-1.2
53.5,-1.29
55.18,-3.6
53.61,-2.37
57.29,-2.23
50.73,-2.28
52.99,-3.05
53.22,-3.3
52.9,-4.32
50.67,-1.52
52.72,-1.33
53.66,-1.48
52.37,-2.25
54.27,-1.87
54.89,-2.87
54.24,-4.41
53.21,-3.33
53.36,-2.93
53.89,-0.41
54.8,-2.81
54.86,-3.13
53.26,0.14
52.14,-1.7
52.56,-0.36
51.69,0.01
54.21,-1.48
54.32,-1.49
51.83,1.06
53.66,-1.83
53.6,-3.04
53.6,-3.07
54.8,-2.73
53.58,-2.36
54.46,-0.92
53.47,-2.95
58.23,-6.15
57.46,-7.4
57.84,-6.68
57.37,-7.42
57.99,-6.77
57.91,-6.84
57.38,-7.41
58.46,-6.34
57.9,-4.33
57.82,-6.85
57.77,-6.91
57.38,-7.34
57.38,-7.37
57.49,-7.27
57.02,-5.97
55.86,-3.98
57.16,-7.39
57.79,-6.86
57.48,-6.34
58.23,-6.32
58.52,-4.28
58.22,-7.02
53.71,-1.31
53.91,-2.01
58.05,-6.68
56.63,-3.12
53.71,-0.91
56.49,-3.47
57.07,-5.78
56.06,-3.78
56.14,-3.91
54.02,-2.15
54.46,-0.62
53.41,-0.69
52.93,-0.49
57.19,-7.39
50.41,-3.63
50.42,-3.84
51.1,-3.15
54.28,-1.58
54.5,-1.38
54.46,-0.69
54.25,-0.81
53.3,-0.59
60.27,-1.38
52.78,-3.18
60.05,-1.21
55.55,-2.08
52.02,-0.98
52.08,1.12
54.9,-1.54
52.72,-2.94
51.79,-4.98
52.75,-1.55
50.92,-0.2
50.92,-0.2
52.63,-2.28
52.75,-2.75
52.08,-4.68
52.42,1.33
51.21,-0.49
51.89,0.07
51.88,0.06
51.2,-0.48
54.86,-2.71
52.85,1.25
57.58,-4.41
52.47,-2.81
50.99,-2.21
52.21,-1.88
52.41,-1.89
50.82,0.12
51.19,-3.47
51.41,-2.28
52.36,-0.26
52.36,-0.28
54.08,-1.38
