a	7.022785763605549%
b	2.6978846274559034%
c	3.024292260372858%
d	4.043939489046513%
e	10.870127424518234%
f	1.4043060699265582%
g	3.0863097106270794%
h	5.053041240349005%
i	4.82003640700521%
j	0.0449438202247191%
k	1.6312849162011172%
l	7.488544347498588%
m	2.5030443788839367%
n	8.046952482581132%
o	8.51271106647417%
p	1.710878162073944%
q	0.05021655891030067%
r	7.835791852363316%
s	5.270227857636056%
t	7.002699140041428%
u	2.097545665683259%
v	0.5154729772142365%
w	2.9243613081413597%
x	0.13784445420877536%
y	2.151277383717281%
z	0.05348063523947021%
